Date,Energy [MWh],Min load [MW],Max load [MW]
2019-04-01,88.28282612499999,2033.238,5024.818
2019-04-02,90.94743137499998,2526.999,4812.234
2019-04-03,95.98766675,2685.555,5238.884
2019-04-04,93.85148212499999,2689.079,5199.413
2019-04-05,98.96975424999998,2739.549,5454.638
2019-04-06,74.70938199999998,2549.685,4106.321
2019-04-07,67.57456362500001,2195.236,3895.053
2019-04-08,97.85178112499997,2445.926,5411.86
2019-04-09,104.91426987500002,3129.617,5546.621
2019-04-10,97.13637687499998,2918.68,5147.276
2019-04-11,102.87455125000002,3048.646,5634.682
2019-04-12,101.34911824999999,3032.669,5817.896
2019-04-13,83.14733887500002,2662.153,4362.831
2019-04-14,69.768647,2311.05,3550.376
2019-04-15,95.06519862500001,2399.207,5451.007
2019-04-16,93.82784812500002,2691.166,5075.676
2019-04-17,92.69960225000001,2528.67,4973.272
2019-04-18,94.66889662499999,2584.797,5038.521
2019-04-19,92.8556035,2736.632,4882.819
2019-04-20,75.275228625,2700.031,3777.713
2019-04-21,69.85929475000002,2582.662,3691.129
2019-04-22,68.99045762499999,2534.967,3537.577
2019-04-23,86.89937099999999,2172.903,4974.549
2019-04-24,90.95406075000002,2653.705,4840.527
2019-04-25,71.02615999999998,2478.083,3644.891
2019-04-26,82.08565612499999,2351.793,4334.729
2019-04-27,77.242157,2576.927,3825.539
2019-04-28,80.489937875,2803.246,4027.5
2019-04-29,94.18479649999998,2723.789,5285.201
2019-04-30,93.78278212499998,2626.09,5205.398
