Date,Energy [MWh],Min load [MW],Max load [MW]
2019-05-01,59.29057824999999,2090.848,3134.973
2019-05-02,71.55175862500002,2142.77,3943.518
2019-05-03,71.898940875,2259.34,3945.377
2019-05-04,68.56884249999999,2239.839,3542.669
2019-05-05,56.693986374999994,2049.026,3102.868
2019-05-06,72.73621175000002,2135.584,3973.583
2019-05-07,70.60886024999999,2261.691,3875.898
2019-05-08,71.08819162499996,2258.051,3757.383
2019-05-09,71.61843537499999,2307.984,3825.164
2019-05-10,71.6929445,2319.008,3855.865
2019-05-11,65.35926249999999,2236.185,3463.728
2019-05-12,61.507583375,2078.817,3578.795
2019-05-13,72.95377875,2114.339,3948.516
2019-05-14,72.19453250000001,2195.931,4030.053
2019-05-15,72.56328674999999,2253.229,3888.107
2019-05-16,75.633200125,2227.408,4055.063
2019-05-17,75.21399562500001,2381.823,3975.946
2019-05-18,68.05883037499999,2364.383,3511.719
2019-05-19,60.79341125,2125.702,3145.567
2019-05-20,70.82308062500002,2132.263,3866.696
2019-05-21,73.65605812499999,2148.71,3975.864
2019-05-22,75.481561625,2504.032,3859.004
2019-05-23,74.97991312500002,2339.819,3963.095
2019-05-24,71.761010375,2410.112,3777.048
2019-05-25,66.275497625,2237.436,3496.849
2019-05-26,63.439246999999995,2181.173,3361.566
2019-05-27,71.407865375,2261.819,3772.325
2019-05-28,73.52245312500001,2379.746,3836.76
2019-05-29,73.15453825000002,2275.884,3854.901
2019-05-30,74.14159149999999,2335.012,3922.17
2019-05-31,71.90500787500001,2379.046,3682.771
