Date,Energy [MWh],Min load [MW],Max load [MW]
2018-07-01,23.922501,861.036,1226.311
2018-07-02,26.51721675,911.548,1329.339
2018-07-03,27.863364125000004,955.0,1363.398
2018-07-04,27.221941124999997,948.981,1331.296
2018-07-05,27.182936999999995,949.27,1320.633
2018-07-06,26.674071625,968.182,1283.781
2018-07-07,25.225693125,936.029,1207.187
2018-07-08,23.900649499999997,874.123,1225.276
2018-07-09,25.8109505,893.796,1263.43
2018-07-10,25.683201375,901.614,1263.468
2018-07-11,26.335742875,894.73,1290.166
2018-07-12,26.43417125,920.297,1315.653
2018-07-13,27.273757625,925.897,1358.162
2018-07-14,26.724027125,962.011,1303.388
2018-07-15,25.994089499999998,917.898,1327.884
2018-07-16,27.602432874999998,938.063,1330.544
2018-07-17,26.743621875000002,935.887,1306.577
2018-07-18,26.208306874999998,892.173,1314.125
2018-07-19,25.539560500000004,888.675,1286.436
2018-07-20,26.73774325,863.541,1415.82
2018-07-21,26.595517875,941.692,1284.442
2018-07-22,24.95258275,883.39,1227.031
2018-07-23,25.006886500000004,848.11,1244.158
2018-07-24,25.519088375,883.796,1282.891
2018-07-25,26.784647749999994,939.538,1343.98
2018-07-26,26.698831124999998,913.869,1346.492
2018-07-27,27.333718124999997,949.175,1360.699
2018-07-28,26.049294375000002,932.468,1311.662
2018-07-29,24.1310475,848.739,1282.186
2018-07-30,28.292854500000004,935.146,1475.283
2018-07-31,30.257204875000003,1038.579,1503.618
