Date,Energy [MWh],Min load [MW],Max load [MW]
2018-10-01,23.791480875,827.35,1174.92
2018-10-02,23.903223,837.616,1174.661
2018-10-03,24.145003874999993,831.647,1184.939
2018-10-04,23.58173675,822.114,1174.44
2018-10-05,23.867386000000003,809.778,1185.593
2018-10-06,23.262446125,844.709,1152.221
2018-10-07,21.895637625000003,813.964,1111.072
2018-10-08,23.372344875000003,812.705,1177.068
2018-10-09,24.339133999999998,812.619,1293.872
2018-10-10,23.426359249999997,807.151,1160.467
2018-10-11,23.108582000000002,784.358,1166.869
2018-10-12,23.038337625,801.688,1154.744
2018-10-13,22.242820249999998,801.054,1109.294
2018-10-14,21.462075625000008,801.968,1076.061
2018-10-15,23.239642500000002,794.739,1146.135
2018-10-16,23.315766749999998,804.751,1163.083
2018-10-17,23.754865625,821.403,1203.065
2018-10-18,23.349584124999996,805.197,1182.17
2018-10-19,22.912674125000002,798.931,1159.584
2018-10-20,22.369608125000006,821.793,1103.74
2018-10-21,23.112579124999996,847.281,1159.801
2018-10-22,22.126394375,759.497,1121.274
2018-10-23,22.915658999999994,790.58,1158.431
2018-10-24,23.35581625,799.943,1153.617
2018-10-25,22.3874205,802.019,1140.338
2018-10-26,24.210210000000004,878.08,1204.481
2018-10-27,20.141431,592.04,1105.237
2018-10-28,19.750874499999995,652.085,981.929
2018-10-29,22.414101249999998,714.156,1165.66
2018-10-30,22.022574000000006,760.077,1073.309
2018-10-31,22.239542500000002,770.863,1108.267
