Date,Energy [MWh],Min load [MW],Max load [MW]
2019-02-01,24.468930875000005,741.416,1238.673
2019-02-02,24.266495125,788.889,1227.105
2019-02-03,21.342402625000002,631.391,1245.471
2019-02-04,26.154180125000007,829.915,1362.329
2019-02-05,25.281630375,791.701,1326.744
2019-02-06,26.469653249999997,872.103,1373.183
2019-02-07,26.208477375,868.779,1347.506
2019-02-08,25.116733749999998,804.679,1307.369
2019-02-09,23.029654875,795.562,1195.205
2019-02-10,20.947137125,725.655,1131.159
2019-02-11,23.695278249999994,705.579,1238.882
2019-02-12,24.787008375000003,641.091,1279.929
2019-02-13,26.729055874999997,861.659,1420.37
2019-02-14,26.851534625,886.893,1385.943
2019-02-15,25.055803999999995,824.458,1300.628
2019-02-16,25.945626624999996,887.759,1346.667
2019-02-17,23.103082625,813.754,1235.263
2019-02-18,24.960198875,782.932,1295.893
2019-02-19,25.12320725,806.156,1314.894
2019-02-20,24.894174375,807.685,1294.181
2019-02-21,24.913813750000003,808.572,1305.135
2019-02-22,25.283161249999992,803.566,1302.189
2019-02-23,22.1678225,764.655,1156.941
2019-02-24,19.452200124999997,590.879,1048.306
2019-02-25,23.4601345,620.001,1368.761
2019-02-26,25.1651665,799.614,1330.671
2019-02-27,24.660059374999996,806.847,1306.122
2019-02-28,23.919635375000002,812.191,1241.25
