Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,20371,20579,20535
00:05,20455,20431,20454
00:10,20455,20431,20346
00:15,20455,20431,20309
00:20,20455,20254,20247
00:25,20455,20254,20162
00:30,20455,20254,20102
00:35,20455,19984,20042
00:40,20455,19984,20022
00:45,20455,19984,19958
00:50,20455,19803,19886
00:55,20455,19803,19858
01:00,20455,19803,19748
01:05,19765,19656,19692
01:10,19765,19656,19620
01:15,19765,19656,19612
01:20,19765,19520,19569
01:25,19765,19520,19525
01:30,19765,19520,19491
01:35,19765,19380,19451
01:40,19765,19380,19417
01:45,19765,19380,19401
01:50,19765,19289,19365
01:55,19765,19289,19359
02:00,19765,19289,19288
02:05,19363,19299,19285
02:10,19363,19299,19276
02:15,19363,19299,19243
02:20,19363,19209,19207
02:25,19363,19209,19199
02:30,19363,19209,19167
02:35,19363,19137,19139
02:40,19363,19137,19159
02:45,19363,19137,19160
02:50,19363,19086,19155
02:55,19363,19086,19123
03:00,19363,19086,19128
03:05,19314,19160,19131
03:10,19314,19160,19173
03:15,19314,19160,19180
03:20,19314,19205,19190
03:25,19314,19205,19167
03:30,19314,19205,19141
03:35,19314,19235,19154
03:40,19314,19235,19162
03:45,19314,19235,19170
03:50,19314,19307,19201
03:55,19314,19307,19249
04:00,19314,19307,19258
04:05,19923,19514,19406
04:10,19923,19514,19529
04:15,19923,19514,19597
04:20,19923,19699,19657
04:25,19923,19699,19704
04:30,19923,19699,19770
04:35,19923,19920,19806
04:40,19923,19920,19896
04:45,19923,19920,19979
04:50,19923,20179,20065
04:55,19923,20179,20143
05:00,19923,20179,20297
05:05,21447,20712,20520
05:10,21447,20712,20716
05:15,21447,20712,20890
05:20,21447,21166,21039
05:25,21447,21166,21132
05:30,21447,21166,21235
05:35,21447,21608,21418
05:40,21447,21608,21573
05:45,21447,21608,21709
05:50,21447,22086,21903
05:55,21447,22086,22041
06:00,21447,22086,22261
06:05,23495,22927,22583
06:10,23495,22927,22886
06:15,23495,22927,23105
06:20,23495,23341,23260
06:25,23495,23341,23366
06:30,23495,23341,23454
06:35,23495,23599,23607
06:40,23495,23599,23759
06:45,23495,23599,23839
06:50,23495,23956,23940
06:55,23495,23956,24055
07:00,23495,23956,24153
07:05,24759,24566,24181
07:10,24759,24566,24357
07:15,24759,24566,24433
07:20,24759,24832,24499
07:25,24759,24832,24438
07:30,24759,24832,24434
07:35,24759,24663,24424
07:40,24759,24663,24396
07:45,24759,24663,24376
07:50,24759,24440,24357
07:55,24759,24440,24300
08:00,24759,24440,24282
08:05,25026,24352,24303
08:10,25026,24352,24324
08:15,25026,24352,24317
08:20,25026,24335,24302
08:25,25026,24335,24275
08:30,25026,24335,24236
08:35,25026,24228,24283
08:40,25026,24228,24285
08:45,25026,24228,24227
08:50,25026,24185,24271
08:55,25026,24185,24202
09:00,25026,24185,24248
09:05,25085,24226,24251
09:10,25085,24226,24211
09:15,25085,24226,24261
09:20,25085,24231,24272
09:25,25085,24231,24383
09:30,25085,24231,24354
09:35,25085,24260,24315
09:40,25085,24260,24346
09:45,25085,24260,24326
09:50,25085,24400,24297
09:55,25085,24400,24331
10:00,25085,24400,24330
