Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,21292,20259,20117
00:05,20629,20088,20077
00:10,20629,20088,20079
00:15,20629,20088,20002
00:20,20629,19904,19953
00:25,20629,19904,19864
00:30,20629,19904,19761
00:35,20629,19685,19661
00:40,20629,19685,19594
00:45,20629,19685,19518
00:50,20629,19500,19454
00:55,20629,19500,19417
01:00,20629,19500,19358
01:05,19923,19276,19287
01:10,19923,19276,19227
01:15,19923,19276,19137
01:20,19923,19118,19067
01:25,19923,19118,19035
01:30,19923,19118,18975
01:35,19923,18968,18920
01:40,19923,18968,18899
01:45,19923,18968,18876
01:50,19923,18823,18865
01:55,19923,18823,18803
02:00,19923,18823,18765
02:05,19524,18763,18772
02:10,19524,18763,18736
02:15,19524,18763,18708
02:20,19524,18696,18681
02:25,19524,18696,18661
02:30,19524,18696,18637
02:35,19524,18644,18622
02:40,19524,18644,18634
02:45,19524,18644,18635
02:50,19524,18602,18616
02:55,19524,18602,18608
03:00,19524,18602,18637
03:05,19484,18669,18644
03:10,19484,18669,18665
03:15,19484,18669,18681
03:20,19484,18658,18681
03:25,19484,18658,18681
03:30,19484,18658,18661
03:35,19484,18717,18707
03:40,19484,18717,18725
03:45,19484,18717,18726
03:50,19484,18829,18763
03:55,19484,18829,18788
04:00,19484,18829,18818
04:05,20045,19022,18916
04:10,20045,19022,19041
04:15,20045,19022,19103
04:20,20045,19188,19174
04:25,20045,19188,19231
04:30,20045,19188,19282
04:35,20045,19409,19364
04:40,20045,19409,19454
04:45,20045,19409,19553
04:50,20045,19686,19643
04:55,20045,19686,19736
05:00,20045,19686,19815
05:05,21436,20249,20033
05:10,21436,20249,20264
05:15,21436,20249,20371
05:20,21436,20616,20478
05:25,21436,20616,20561
05:30,21436,20616,20667
05:35,21436,20962,20815
05:40,21436,20962,20922
05:45,21436,20962,21043
05:50,21436,21382,21166
05:55,21436,21382,21298
06:00,21436,21382,21471
06:05,23481,22089,21804
06:10,23481,22089,22098
06:15,23481,22089,22307
06:20,23481,22638,22445
06:25,23481,22638,22585
06:30,23481,22638,22680
06:35,23481,23032,22832
06:40,23481,23032,22968
06:45,23481,23032,23036
06:50,23481,23201,23132
06:55,23481,23201,23175
07:00,23481,23201,23241
07:05,24312,23486,23420
07:10,24312,23486,23557
07:15,24312,23486,23609
07:20,24312,23634,23666
07:25,24312,23634,23728
07:30,24312,23634,23772
07:35,24312,23686,23770
07:40,24312,23686,23796
07:45,24312,23686,23811
07:50,24312,23792,23822
07:55,24312,23792,23845
08:00,24312,23792,23841
08:05,24052,23913,23923
08:10,24052,23913,23978
08:15,24052,23913,23923
08:20,24052,23873,23921
08:25,24052,23873,23893
08:30,24052,23873,23855
08:35,24052,23792,23835
08:40,24052,23792,23859
08:45,24052,23792,23761
08:50,24052,23646,23712
08:55,24052,23646,23666
09:00,24052,23646,23620
09:05,23325,23558,23568
09:10,23325,23558,23524
09:15,23325,23558,23478
09:20,23325,23431,23449
09:25,23325,23431,23405
09:30,23325,23431,23335
09:35,23325,23249,23317
09:40,23325,23249,23280
09:45,23325,23249,23240
09:50,23325,23145,23184
09:55,23325,23145,23129
10:00,23325,23145,23122
10:05,22752,23065,23107
10:10,22752,23065,23080
10:15,22752,23065,23062
10:20,22752,22902,23018
10:25,22752,22902,22910
10:30,22752,22902,22855
10:35,22752,22757,22815
10:40,22752,22757,22788
10:45,22752,22757,22699
10:50,22752,22611,22650
10:55,22752,22611,22611
11:00,22752,22611,22556
11:05,22097,22484,22474
11:10,22097,22484,22450
11:15,22097,22484,22443
11:20,22097,22400,22398
11:25,22097,22400,22383
11:30,22097,22400,22347
11:35,22097,22236,22317
11:40,22097,22236,22304
11:45,22097,22236,22252
11:50,22097,22164,22193
11:55,22097,22164,22169
12:00,22097,22164,22136
12:05,21596,22056,22058
12:10,21596,22056,21966
12:15,21596,22056,21945
12:20,21596,21982,21900
12:25,21596,21982,21875
12:30,21596,21982,21838
12:35,21596,21941,21816
12:40,21596,21941,21828
12:45,21596,21941,21841
12:50,21596,21877,21836
12:55,21596,21877,21843
