Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,22327,21597,21649
00:05,21116,21364,21509
00:10,21116,21364,21419
00:15,21116,21364,21341
00:20,21116,21095,21235
00:25,21116,21095,21141
00:30,21116,21095,21071
00:35,21116,20755,20982
00:40,21116,20755,20916
00:45,21116,20755,20818
00:50,21116,20507,20697
00:55,21116,20507,20613
01:00,21116,20507,20511
01:05,20118,20277,20424
01:10,20118,20277,20356
01:15,20118,20277,20241
01:20,20118,20050,20168
01:25,20118,20050,20112
01:30,20118,20050,20044
01:35,20118,19857,19978
01:40,20118,19857,19926
01:45,20118,19857,19873
01:50,20118,19624,19817
01:55,20118,19624,19744
02:00,20118,19624,19672
02:05,19483,19509,19620
02:10,19483,19509,19565
02:15,19483,19509,19519
02:20,19483,19387,19412
02:25,19483,19387,19375
02:30,19483,19387,19363
02:35,19483,19252,19327
02:40,19483,19252,19309
02:45,19483,19252,19274
02:50,19483,19080,19245
02:55,19483,19080,19219
03:00,19483,19080,19137
03:05,19118,19024,19111
03:10,19118,19024,19110
03:15,19118,19024,19071
03:20,19118,18961,19003
03:25,19118,18961,18999
03:30,19118,18961,18997
03:35,19118,18872,18997
03:40,19118,18872,18993
03:45,19118,18872,18983
03:50,19118,18780,18993
03:55,19118,18780,18978
04:00,19118,18780,18959
04:05,19130,18896,18980
04:10,19130,18896,19018
04:15,19130,18896,19007
04:20,19130,18922,19020
04:25,19130,18922,19016
04:30,19130,18922,19013
04:35,19130,18934,19017
04:40,19130,18934,19039
04:45,19130,18934,19053
04:50,19130,18971,19075
04:55,19130,18971,19089
05:00,19130,18971,19122
05:05,19595,19113,19263
05:10,19595,19113,19325
05:15,19595,19113,19343
05:20,19595,19224,19384
05:25,19595,19224,19415
05:30,19595,19224,19411
05:35,19595,19350,19463
05:40,19595,19350,19470
05:45,19595,19350,19473
05:50,19595,19488,19511
05:55,19595,19488,19556
06:00,19595,19488,19647
06:05,20301,19768,19785
06:10,20301,19768,19956
06:15,20301,19768,20003
06:20,20301,19812,20045
06:25,20301,19812,20081
06:30,20301,19812,20070
06:35,20301,19797,20079
06:40,20301,19797,20073
06:45,20301,19797,20056
06:50,20301,19894,20049
06:55,20301,19894,20047
07:00,20301,19894,20055
07:05,20834,20032,20169
07:10,20834,20032,20275
07:15,20834,20032,20325
07:20,20834,20102,20348
07:25,20834,20102,20391
07:30,20834,20102,20421
07:35,20834,20297,20452
07:40,20834,20297,20527
07:45,20834,20297,20556
07:50,20834,20415,20592
07:55,20834,20415,20578
08:00,20834,20415,20541
08:05,21395,20632,20574
08:10,21395,20632,20646
08:15,21395,20632,20604
08:20,21395,20731,20635
08:25,21395,20731,20671
08:30,21395,20731,20693
08:35,21395,20648,20750
08:40,21395,20648,20808
08:45,21395,20648,20851
08:50,21395,20663,20817
08:55,21395,20663,20809
09:00,21395,20663,20863
09:05,21762,20824,20811
09:10,21762,20824,20816
09:15,21762,20824,20821
09:20,21762,20882,20838
09:25,21762,20882,20870
09:30,21762,20882,20891
09:35,21762,20882,20906
09:40,21762,20882,20915
09:45,21762,20882,20881
09:50,21762,20809,20826
09:55,21762,20809,20828
10:00,21762,20809,20831
10:05,21887,20874,20811
10:10,21887,20874,20818
10:15,21887,20874,20823
10:20,21887,20872,20877
10:25,21887,20872,20890
10:30,21887,20872,20866
10:35,21887,20815,20903
10:40,21887,20815,20892
10:45,21887,20815,20879
10:50,21887,20845,20843
10:55,21887,20845,20864
11:00,21887,20845,20839
11:05,22084,20832,20795
11:10,22084,20832,20771
11:15,22084,20832,20760
11:20,22084,20790,20813
11:25,22084,20790,20850
11:30,22084,20790,20829
11:35,22084,20774,20833
11:40,22084,20774,20818
11:45,22084,20774,20831
11:50,22084,20823,20831
11:55,22084,20823,20839
12:00,22084,20823,20836
12:05,22248,20804,20800
12:10,22248,20804,20776
12:15,22248,20804,20732
12:20,22248,20815,20747
12:25,22248,20815,20796
12:30,22248,20815,20809
12:35,22248,20705,20860
12:40,22248,20705,20878
12:45,22248,20705,20901
12:50,22248,20738,20895
12:55,22248,20738,20917
13:00,22248,20738,20862
13:05,22344,20864,20913
13:10,22344,20864,20937
13:15,22344,20864,20938
13:20,22344,20907,20914
13:25,22344,20907,21033
13:30,22344,20907,21048
13:35,22344,20963,21050
13:40,22344,20963,21081
13:45,22344,20963,21067
13:50,22344,20978,21170
13:55,22344,20978,21143
14:00,22344,20978,21145
14:05,22379,20995,21093
14:10,22379,20995,21051
14:15,22379,20995,21091
14:20,22379,21106,21163
14:25,22379,21106,21250
14:30,22379,21106,21296
14:35,22379,21107,21227
14:40,22379,21107,21308
14:45,22379,21107,21403
14:50,22379,21333,21404
14:55,22379,21333,21373
15:00,22379,21333,21450
15:05,22601,21384,21420
15:10,22601,21384,21419
15:15,22601,21384,21468
15:20,22601,21472,21517
15:25,22601,21472,21517
15:30,22601,21472,21574
15:35,22601,21600,21701
15:40,22601,21600,21786
15:45,22601,21600,21876
15:50,22601,21651,21928
15:55,22601,21651,22000
16:00,22601,21651,22025
16:05,23088,22020,22052
16:10,23088,22020,22093
16:15,23088,22020,22161
16:20,23088,22147,22223
16:25,23088,22147,22342
16:30,23088,22147,22400
16:35,23088,22519,22612
16:40,23088,22519,22788
16:45,23088,22519,22915
16:50,23088,23097,23119
16:55,23088,23097,23292
17:00,23088,23097,23439
17:05,24345,23655,23522
17:10,24345,23655,23610
17:15,24345,23655,23670
17:20,24345,23847,23678
17:25,24345,23847,23688
17:30,24345,23847,23679
17:35,24345,23386,23633
17:40,24345,23386,23618
17:45,24345,23386,23590
17:50,24345,23228,23567
17:55,24345,23228,23528
18:00,24345,23228,23436
18:05,24061,23153,23378
18:10,24061,23153,23339
18:15,24061,23153,23275
18:20,24061,23018,23223
18:25,24061,23018,23186
18:30,24061,23018,23139
18:35,24061,22901,23095
18:40,24061,22901,23067
18:45,24061,22901,23015
18:50,24061,22762,22991
18:55,24061,22762,22927
19:00,24061,22762,22879
19:05,23746,22672,22900
19:10,23746,22672,22896
19:15,23746,22672,22826
19:20,23746,22594,22779
19:25,23746,22594,22795
19:30,23746,22594,22799
19:35,23746,22622,22775
19:40,23746,22622,22735
19:45,23746,22622,22688
19:50,23746,22543,22664
19:55,23746,22543,22621
20:00,23746,22543,22611
20:05,23341,22448,22600
20:10,23341,22448,22583
20:15,23341,22448,22571
20:20,23341,22340,22538
20:25,23341,22340,22535
20:30,23341,22340,22541
20:35,23341,22259,22540
20:40,23341,22259,22476
20:45,23341,22259,22463
20:50,23341,22218,22421
20:55,23341,22218,22387
21:00,23341,22218,22310
21:05,22700,22108,22256
21:10,22700,22108,22301
21:15,22700,22108,22315
21:20,22700,21990,22238
21:25,22700,21990,22188
21:30,22700,21990,22150
21:35,22700,21856,22067
21:40,22700,21856,21997
21:45,22700,21856,21910
21:50,22700,21728,21848
21:55,22700,21728,21777
22:00,22700,21728,21739
22:05,21829,21489,21652
22:10,21829,21489,21654
22:15,21829,21489,21630
22:20,21829,21327,21594
22:25,21829,21327,21491
22:30,21829,21327,21433
22:35,21829,21151,21335
22:40,21829,21151,21265
22:45,21829,21151,21161
22:50,21829,20900,21091
22:55,21829,20900,21013
23:00,21829,20900,20918
23:05,20918,20642,20848
23:10,20918,20642,20860
23:15,20918,20642,20826
23:20,20918,20449,20750
23:25,20918,20449,20636
23:30,20918,20449,20544
23:35,20918,20247,20441
23:40,20918,20247,20366
23:45,20918,20247,20299
23:50,20918,20009,20223
23:55,20918,20009,20119
00:00,20918,20009,
