Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,21009,20666,20589
00:05,20635,20570,20531
00:10,20635,20570,20531
00:15,20635,20570,20485
00:20,20635,20380,20405
00:25,20635,20380,20314
00:30,20635,20380,20265
00:35,20635,20087,20185
00:40,20635,20087,20134
00:45,20635,20087,20073
00:50,20635,19903,20023
00:55,20635,19903,19963
01:00,20635,19903,19919
01:05,19964,19774,19854
01:10,19964,19774,19826
01:15,19964,19774,19781
01:20,19964,19677,19716
01:25,19964,19677,19684
01:30,19964,19677,19647
01:35,19964,19631,19579
01:40,19964,19631,19572
01:45,19964,19631,19534
01:50,19964,19566,19496
01:55,19964,19566,19466
02:00,19964,19566,19454
02:05,19636,19447,19441
02:10,19636,19447,19441
02:15,19636,19447,19410
02:20,19636,19414,19372
02:25,19636,19414,19365
02:30,19636,19414,19355
02:35,19636,19326,19318
02:40,19636,19326,19310
02:45,19636,19326,19307
02:50,19636,19216,19294
02:55,19636,19216,19292
03:00,19636,19216,19302
03:05,19549,19306,19336
03:10,19549,19306,19357
03:15,19549,19306,19364
03:20,19549,19388,19365
03:25,19549,19388,19382
03:30,19549,19388,19395
03:35,19549,19468,19436
03:40,19549,19468,19476
03:45,19549,19468,19461
03:50,19549,19576,19482
03:55,19549,19576,19517
04:00,19549,19576,19553
04:05,20217,19840,19669
04:10,20217,19840,19803
04:15,20217,19840,19856
04:20,20217,20018,19927
04:25,20217,20018,19983
04:30,20217,20018,20047
04:35,20217,20233,20121
04:40,20217,20233,20205
04:45,20217,20233,20232
04:50,20217,20484,20311
04:55,20217,20484,20411
05:00,20217,20484,20543
05:05,21674,21024,20773
05:10,21674,21024,20994
05:15,21674,21024,21140
05:20,21674,21354,21249
05:25,21674,21354,21372
05:30,21674,21354,21473
05:35,21674,21758,21608
05:40,21674,21758,21784
05:45,21674,21758,21863
05:50,21674,22193,21997
05:55,21674,22193,22141
06:00,21674,22193,22281
06:05,23513,22885,22595
06:10,23513,22885,22880
06:15,23513,22885,23045
06:20,23513,23232,23137
06:25,23513,23232,23250
06:30,23513,23232,23334
06:35,23513,23411,23416
06:40,23513,23411,23493
06:45,23513,23411,23551
06:50,23513,23665,23594
06:55,23513,23665,23685
07:00,23513,23665,23779
07:05,24456,24086,23889
07:10,24456,24086,24054
07:15,24456,24086,24155
07:20,24456,24382,24198
07:25,24456,24382,24271
07:30,24456,24382,24284
07:35,24456,24385,24292
07:40,24456,24385,24342
07:45,24456,24385,24396
07:50,24456,24340,24365
07:55,24456,24340,24461
08:00,24456,24340,24498
08:05,24419,24579,24499
08:10,24419,24579,24605
08:15,24419,24579,24637
08:20,24419,24567,24650
08:25,24419,24567,24702
08:30,24419,24567,24693
08:35,24419,24480,24687
08:40,24419,24480,24671
08:45,24419,24480,24649
08:50,24419,24556,24643
08:55,24419,24556,24613
09:00,24419,24556,24588
09:05,24214,24619,24539
09:10,24214,24619,24532
09:15,24214,24619,24498
09:20,24214,24503,24483
09:25,24214,24503,24496
09:30,24214,24503,24459
09:35,24214,24346,24409
09:40,24214,24346,24415
09:45,24214,24346,24396
09:50,24214,24298,24392
09:55,24214,24298,24357
10:00,24214,24298,24314
10:05,24039,24275,24322
10:10,24039,24275,24313
10:15,24039,24275,24239
10:20,24039,24264,24231
10:25,24039,24264,24216
10:30,24039,24264,24191
10:35,24039,24136,24159
10:40,24039,24136,24115
10:45,24039,24136,24127
10:50,24039,24097,24101
10:55,24039,24097,24098
11:00,24039,24097,24075
11:05,23949,24028,24046
11:10,23949,24028,23999
11:15,23949,24028,23983
11:20,23949,23991,24005
11:25,23949,23991,24016
11:30,23949,23991,24032
11:35,23949,23899,24052
11:40,23949,23899,24072
11:45,23949,23899,24078
11:50,23949,23884,24072
11:55,23949,23884,24102
12:00,23949,23884,24088
12:05,24040,24077,24116
12:10,24040,24077,24192
12:15,24040,24077,24200
12:20,24040,24055,24230
12:25,24040,24055,24192
12:30,24040,24055,24182
12:35,24040,24220,24222
12:40,24040,24220,24237
12:45,24040,24220,24287
12:50,24040,24352,24343
12:55,24040,24352,24367
13:00,24040,24352,24382
13:05,24452,24466,24380
13:10,24452,24466,24454
13:15,24452,24466,24464
13:20,24452,24523,24477
13:25,24452,24523,24506
13:30,24452,24523,24576
13:35,24452,24574,24609
13:40,24452,24574,24649
13:45,24452,24574,24731
13:50,24452,24673,24766
13:55,24452,24673,24813
14:00,24452,24673,24871
14:05,24923,24810,24868
14:10,24923,24810,24883
14:15,24923,24810,24957
