Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,29032,27997,27673
00:05,26544,27542,27548
00:10,26544,27542,27446
00:15,26544,27542,27276
00:20,26544,27180,27148
00:25,26544,27180,27058
00:30,26544,27180,26919
00:35,26544,26713,26842
00:40,26544,26713,26706
00:45,26544,26713,26540
00:50,26544,26410,26425
00:55,26544,26410,26320
01:00,26544,26410,26154
01:05,25086,26000,26062
01:10,25086,26000,25932
01:15,25086,26000,25816
01:20,25086,25676,25719
01:25,25086,25676,25604
01:30,25086,25676,25519
01:35,25086,25388,25398
01:40,25086,25388,25329
01:45,25086,25388,25238
01:50,25086,25105,25189
01:55,25086,25105,25090
02:00,25086,25105,24991
02:05,24111,24904,24916
02:10,24111,24904,24859
02:15,24111,24904,24824
02:20,24111,24705,24757
02:25,24111,24705,24695
02:30,24111,24705,24654
02:35,24111,24548,24555
02:40,24111,24548,24498
02:45,24111,24548,24453
02:50,24111,24370,24414
02:55,24111,24370,24385
03:00,24111,24370,24300
03:05,23636,24337,24294
03:10,23636,24337,24291
03:15,23636,24337,24249
03:20,23636,24218,24195
03:25,23636,24218,24214
03:30,23636,24218,24158
03:35,23636,24162,24161
03:40,23636,24162,24125
03:45,23636,24162,24095
03:50,23636,24127,24089
03:55,23636,24127,24129
04:00,23636,24127,24125
04:05,23882,24291,24212
04:10,23882,24291,24320
04:15,23882,24291,24355
04:20,23882,24440,24393
04:25,23882,24440,24465
04:30,23882,24440,24520
04:35,23882,24638,24565
04:40,23882,24638,24644
04:45,23882,24638,24648
04:50,23882,24838,24673
04:55,23882,24838,24757
05:00,23882,24838,24934
05:05,25157,25276,25072
05:10,25157,25276,25304
05:15,25157,25276,25441
05:20,25157,25648,25567
05:25,25157,25648,25651
05:30,25157,25648,25743
05:35,25157,26012,25895
05:40,25157,26012,26085
05:45,25157,26012,26175
05:50,25157,26435,26306
05:55,25157,26435,26466
06:00,25157,26435,26645
06:05,27038,27235,27009
06:10,27038,27235,27311
06:15,27038,27235,27505
06:20,27038,27571,27624
06:25,27038,27571,27720
06:30,27038,27571,27758
06:35,27038,27894,27885
06:40,27038,27894,28008
06:45,27038,27894,28073
06:50,27038,28225,28180
06:55,27038,28225,28268
07:00,27038,28225,28383
07:05,28444,28827,28591
07:10,28444,28827,28819
07:15,28444,28827,28886
07:20,28444,29178,28936
07:25,28444,29178,28948
07:30,28444,29178,28967
07:35,28444,29143,29028
07:40,28444,29143,29077
07:45,28444,29143,29092
07:50,28444,29213,29111
07:55,28444,29213,29127
08:00,28444,29213,29173
08:05,29252,29414,29054
08:10,29252,29414,29224
08:15,29252,29414,29293
08:20,29252,29313,29298
08:25,29252,29313,29438
08:30,29252,29313,29551
08:35,29252,29589,29620
08:40,29252,29589,29737
08:45,29252,29589,29732
08:50,29252,29870,29761
08:55,29252,29870,29842
09:00,29252,29870,29837
09:05,29767,30056,29938
09:10,29767,30056,30092
09:15,29767,30056,30293
09:20,29767,30358,30368
09:25,29767,30358,30357
09:30,29767,30358,30506
09:35,29767,30656,30593
09:40,29767,30656,30615
09:45,29767,30656,30611
09:50,29767,30833,30646
09:55,29767,30833,30789
10:00,29767,30833,30856
10:05,30510,31050,31011
10:10,30510,31050,31060
10:15,30510,31050,31140
10:20,30510,31356,31206
10:25,30510,31356,31311
10:30,30510,31356,31311
10:35,30510,31518,31343
10:40,30510,31518,31417
10:45,30510,31518,31479
10:50,30510,31678,31523
10:55,30510,31678,31519
11:00,30510,31678,31606
11:05,31351,31768,31726
11:10,31351,31768,31841
11:15,31351,31768,31865
11:20,31351,32009,31892
11:25,31351,32009,31927
11:30,31351,32009,31892
11:35,31351,32065,31970
11:40,31351,32065,32078
11:45,31351,32065,32139
11:50,31351,32216,32173
11:55,31351,32216,32297
12:00,31351,32216,32291
12:05,32335,32458,32354
12:10,32335,32458,32446
12:15,32335,32458,32520
12:20,32335,32682,32604
12:25,32335,32682,32752
12:30,32335,32682,32739
12:35,32335,32998,32802
12:40,32335,32998,32895
12:45,32335,32998,32989
12:50,32335,33223,33071
12:55,32335,33223,33234
13:00,32335,33223,33377
13:05,33910,33558,33575
13:10,33910,33558,33678
13:15,33910,33558,33778
13:20,33910,34022,33985
13:25,33910,34022,34086
