Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,21032,20282,20310
00:05,19960,20124,20272
00:10,19960,20124,20176
00:15,19960,20124,20168
00:20,19960,19937,20090
00:25,19960,19937,20020
00:30,19960,19937,19975
00:35,19960,19722,19944
00:40,19960,19722,19906
00:45,19960,19722,19836
00:50,19960,19541,19715
00:55,19960,19541,19671
01:00,19960,19541,19648
01:05,19356,19377,19604
01:10,19356,19377,19559
01:15,19356,19377,19508
01:20,19356,19259,19515
01:25,19356,19259,19451
01:30,19356,19259,19417
01:35,19356,19168,19378
01:40,19356,19168,19347
01:45,19356,19168,19296
01:50,19356,19127,19223
01:55,19356,19127,19230
02:00,19356,19127,19233
02:05,18999,19051,19207
02:10,18999,19051,19184
02:15,18999,19051,19159
02:20,18999,18970,19153
02:25,18999,18970,19110
02:30,18999,18970,19111
02:35,18999,18921,19110
02:40,18999,18921,19103
02:45,18999,18921,19016
02:50,18999,18889,19000
02:55,18999,18889,19038
03:00,18999,18889,19054
03:05,19029,18926,19065
03:10,19029,18926,19073
03:15,19029,18926,19075
03:20,19029,18942,19048
03:25,19029,18942,19062
03:30,19029,18942,19108
03:35,19029,18994,19110
03:40,19029,18994,19093
03:45,19029,18994,19075
03:50,19029,19072,19106
03:55,19029,19072,19189
04:00,19029,19072,19265
04:05,19723,19306,19367
04:10,19723,19306,19460
04:15,19723,19306,19532
04:20,19723,19518,19572
04:25,19723,19518,19621
04:30,19723,19518,19724
04:35,19723,19759,19792
04:40,19723,19759,19898
04:45,19723,19759,19946
04:50,19723,20027,20000
04:55,19723,20027,20091
05:00,19723,20027,20262
05:05,21311,20553,20503
05:10,21311,20553,20849
05:15,21311,20553,20990
05:20,21311,20990,21045
05:25,21311,20990,21251
05:30,21311,20990,21339
05:35,21311,21554,21534
05:40,21311,21554,21704
05:45,21311,21554,21850
05:50,21311,22055,21975
05:55,21311,22055,22116
06:00,21311,22055,22281
06:05,23641,22996,22729
06:10,23641,22996,23113
06:15,23641,22996,23347
06:20,23641,23541,23535
06:25,23641,23541,23709
06:30,23641,23541,23788
06:35,23641,24003,23988
06:40,23641,24003,24138
06:45,23641,24003,24204
06:50,23641,24327,24266
06:55,23641,24327,24338
07:00,23641,24327,24433
07:05,24696,24697,24632
07:10,24696,24697,24813
07:15,24696,24697,24862
07:20,24696,24927,24911
07:25,24696,24927,24936
07:30,24696,24927,24926
07:35,24696,24990,24911
07:40,24696,24990,24869
07:45,24696,24990,24781
07:50,24696,24824,24805
07:55,24696,24824,24705
08:00,24696,24824,24627
08:05,24897,24742,24737
08:10,24897,24742,24716
08:15,24897,24742,24682
08:20,24897,24548,24676
08:25,24897,24548,24613
08:30,24897,24548,24578
08:35,24897,24432,24594
08:40,24897,24432,24580
08:45,24897,24432,24530
08:50,24897,24353,24437
08:55,24897,24353,24492
09:00,24897,24353,24438
09:05,24658,24334,24391
09:10,24658,24334,24369
09:15,24658,24334,24308
09:20,24658,24244,24284
09:25,24658,24244,24316
09:30,24658,24244,24299
09:35,24658,24158,24337
09:40,24658,24158,24312
09:45,24658,24158,24245
09:50,24658,24168,24253
09:55,24658,24168,24231
10:00,24658,24168,24184
10:05,24361,24191,24231
10:10,24361,24191,24194
10:15,24361,24191,24122
10:20,24361,24125,24114
10:25,24361,24125,24061
10:30,24361,24125,24007
10:35,24361,24029,24002
10:40,24361,24029,23937
10:45,24361,24029,23990
10:50,24361,23948,23959
10:55,24361,23948,23969
