Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,23698,23104,23026
00:05,22544,22879,22962
00:10,22544,22879,22957
00:15,22544,22879,22880
00:20,22544,22597,22779
00:25,22544,22597,22746
00:30,22544,22597,22636
00:35,22544,22299,22553
00:40,22544,22299,22508
00:45,22544,22299,22394
00:50,22544,22119,22298
00:55,22544,22119,22210
01:00,22544,22119,22143
01:05,21662,21968,22028
01:10,21662,21968,21928
01:15,21662,21968,21839
01:20,21662,21750,21811
01:25,21662,21750,21752
01:30,21662,21750,21672
01:35,21662,21514,21564
01:40,21662,21514,21488
01:45,21662,21514,21424
01:50,21662,21383,21353
01:55,21662,21383,21370
02:00,21662,21383,21323
02:05,21083,21200,21244
02:10,21083,21200,21196
02:15,21083,21200,21158
02:20,21083,21127,21082
02:25,21083,21127,21043
02:30,21083,21127,21050
02:35,21083,21001,21011
02:40,21083,21001,20990
02:45,21083,21001,20917
02:50,21083,20837,20888
02:55,21083,20837,20862
03:00,21083,20837,20838
03:05,20820,20864,20825
03:10,20820,20864,20788
03:15,20820,20864,20789
03:20,20820,20817,20783
03:25,20820,20817,20795
03:30,20820,20817,20797
03:35,20820,20776,20762
03:40,20820,20776,20734
03:45,20820,20776,20786
03:50,20820,20864,20710
03:55,20820,20864,20788
04:00,20820,20864,20791
04:05,21196,21007,20861
04:10,21196,21007,20915
04:15,21196,21007,20957
04:20,21196,21092,21011
04:25,21196,21092,21097
04:30,21196,21092,21121
04:35,21196,21235,21187
04:40,21196,21235,21196
04:45,21196,21235,21227
04:50,21196,21402,21293
04:55,21196,21402,21339
05:00,21196,21402,21484
05:05,22497,21846,21686
05:10,22497,21846,21939
05:15,22497,21846,22097
05:20,22497,22212,22206
05:25,22497,22212,22253
05:30,22497,22212,22327
05:35,22497,22685,22462
05:40,22497,22685,22631
05:45,22497,22685,22769
05:50,22497,23087,22949
05:55,22497,23087,23041
06:00,22497,23087,23259
06:05,24800,23942,23645
06:10,24800,23942,23926
06:15,24800,23942,24162
06:20,24800,24621,24407
