Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,21852,21320,21208
00:05,20558,21099,21133
00:10,20558,21099,21203
00:15,20558,21099,21124
00:20,20558,20900,21040
00:25,20558,20900,20923
00:30,20558,20900,20841
00:35,20558,20678,20770
00:40,20558,20678,20673
00:45,20558,20678,20600
00:50,20558,20454,20538
00:55,20558,20454,20479
01:00,20558,20454,20398
01:05,19729,20266,20291
01:10,19729,20266,20247
01:15,19729,20266,20196
01:20,19729,20100,20106
01:25,19729,20100,20006
01:30,19729,20100,19970
01:35,19729,19908,19892
01:40,19729,19908,19848
01:45,19729,19908,19796
01:50,19729,19713,19763
01:55,19729,19713,19728
02:00,19729,19713,19658
02:05,19152,19609,19621
02:10,19152,19609,19609
02:15,19152,19609,19589
02:20,19152,19522,19547
02:25,19152,19522,19529
02:30,19152,19522,19496
02:35,19152,19399,19464
02:40,19152,19399,19453
02:45,19152,19399,19410
02:50,19152,19359,19365
02:55,19152,19359,19325
03:00,19152,19359,19285
03:05,18918,19335,19282
03:10,18918,19335,19280
03:15,18918,19335,19271
03:20,18918,19246,19261
03:25,18918,19246,19261
03:30,18918,19246,19219
03:35,18918,19225,19209
03:40,18918,19225,19204
03:45,18918,19225,19181
03:50,18918,19237,19188
03:55,18918,19237,19210
04:00,18918,19237,19197
04:05,19015,19296,19201
04:10,19015,19296,19212
04:15,19015,19296,19242
04:20,19015,19329,19210
04:25,19015,19329,19236
04:30,19015,19329,19259
04:35,19015,19331,19272
04:40,19015,19331,19289
04:45,19015,19331,19303
04:50,19015,19416,19331
04:55,19015,19416,19379
05:00,19015,19416,19384
05:05,19395,19610,19481
05:10,19395,19610,19563
05:15,19395,19610,19600
05:20,19395,19723,19638
05:25,19395,19723,19667
05:30,19395,19723,19709
05:35,19395,19767,19767
05:40,19395,19767,19818
05:45,19395,19767,19842
05:50,19395,19931,19886
05:55,19395,19931,19950
06:00,19395,19931,20035
06:05,20229,20306,20186
06:10,20229,20306,20323
06:15,20229,20306,20418
06:20,20229,20495,20463
06:25,20229,20495,20538
06:30,20229,20495,20601
06:35,20229,20623,20658
06:40,20229,20623,20700
06:45,20229,20623,20706
06:50,20229,20664,20740
06:55,20229,20664,20737
07:00,20229,20664,20769
07:05,20687,20857,20852
07:10,20687,20857,20918
07:15,20687,20857,20929
07:20,20687,20905,20930
07:25,20687,20905,20974
07:30,20687,20905,20968
07:35,20687,20958,20977
07:40,20687,20958,21014
07:45,20687,20958,21000
07:50,20687,20992,20993
07:55,20687,20992,20988
08:00,20687,20992,21002
08:05,21193,21100,20992
08:10,21193,21100,21107
08:15,21193,21100,21070
08:20,21193,21081,21102
08:25,21193,21081,21143
08:30,21193,21081,21112
08:35,21193,20963,21069
08:40,21193,20963,21077
08:45,21193,20963,20997
08:50,21193,21058,20995
08:55,21193,21058,20951
09:00,21193,21058,20921
09:05,21292,20974,20828
09:10,21292,20974,20838
09:15,21292,20974,20890
09:20,21292,20873,20917
09:25,21292,20873,20918
09:30,21292,20873,20880
09:35,21292,20718,20892
09:40,21292,20718,20921
09:45,21292,20718,20869
09:50,21292,20709,20833
09:55,21292,20709,20804
10:00,21292,20709,20817
10:05,21174,20791,20860
10:10,21174,20791,20906
10:15,21174,20791,20876
10:20,21174,20699,20878
10:25,21174,20699,20837
10:30,21174,20699,20807
10:35,21174,20769,20834
10:40,21174,20769,20824
10:45,21174,20769,20823
10:50,21174,20696,20799
10:55,21174,20696,20788
11:00,21174,20696,20799
11:05,20971,20737,20830
11:10,20971,20737,20835
11:15,20971,20737,20784
11:20,20971,20783,20819
11:25,20971,20783,20771
11:30,20971,20783,20741
11:35,20971,20816,20835
11:40,20971,20816,20878
11:45,20971,20816,20893
11:50,20971,20730,20850
11:55,20971,20730,20816
12:00,20971,20730,20837
12:05,20960,20878,20853
12:10,20960,20878,20760
12:15,20960,20878,20881
12:20,20960,20907,20868
12:25,20960,20907,20841
12:30,20960,20907,20857
12:35,20960,20941,20866
12:40,20960,20941,20893
12:45,20960,20941,20917
12:50,20960,20951,20901
12:55,20960,20951,20932
13:00,20960,20951,20957
13:05,21180,21014,20991
13:10,21180,21014,20985
13:15,21180,21014,21017
13:20,21180,21079,21073
13:25,21180,21079,21135
13:30,21180,21079,21216
13:35,21180,21180,21251
13:40,21180,21180,21305
13:45,21180,21180,21375
13:50,21180,21368,21404
13:55,21180,21368,21451
14:00,21180,21368,21523
14:05,21487,21572,21571
14:10,21487,21572,21607
14:15,21487,21572,21667
14:20,21487,21693,21700
14:25,21487,21693,21780
14:30,21487,21693,21839
14:35,21487,21896,21846
14:40,21487,21896,21918
14:45,21487,21896,21994
14:50,21487,22112,22035
14:55,21487,22112,22135
15:00,21487,22112,22189
15:05,22009,22306,22195
15:10,22009,22306,22233
15:15,22009,22306,22373
15:20,22009,22580,22533
15:25,22009,22580,22593
15:30,22009,22580,22724
15:35,22009,22899,22797
15:40,22009,22899,22866
15:45,22009,22899,22999
15:50,22009,23327,23173
15:55,22009,23327,23283
16:00,22009,23327,23435
16:05,23558,23660,23492
16:10,23558,23660,23608
16:15,23558,23660,23739
16:20,23558,24183,23902
16:25,23558,24183,24073
16:30,23558,24183,24308
16:35,23558,24900,24611
16:40,23558,24900,24895
16:45,23558,24900,25165
16:50,23558,25898,25494
16:55,23558,25898,25802
17:00,23558,25898,26145
17:05,26303,26829,26393
17:10,26303,26829,26609
17:15,26303,26829,26789
17:20,26303,27337,26909
17:25,26303,27337,26995
17:30,26303,27337,27099
17:35,26303,27275,27136
17:40,26303,27275,27197
17:45,26303,27275,27230
17:50,26303,27292,27282
17:55,26303,27292,27300
18:00,26303,27292,27284
18:05,26693,27272,27293
18:10,26693,27272,27308
18:15,26693,27272,27302
18:20,26693,27226,27286
18:25,26693,27226,27274
18:30,26693,27226,27242
18:35,26693,27175,27212
18:40,26693,27175,27205
18:45,26693,27175,27238
18:50,26693,27092,27220
18:55,26693,27092,27185
19:00,26693,27092,27197
19:05,26356,27128,27105
19:10,26356,27128,27027
19:15,26356,27128,26983
19:20,26356,27035,26959
19:25,26356,27035,26944
19:30,26356,27035,26928
19:35,26356,26784,26891
19:40,26356,26784,26855
19:45,26356,26784,26814
19:50,26356,26629,26802
19:55,26356,26629,26746
20:00,26356,26629,26713
20:05,25551,26576,26678
20:10,25551,26576,26604
20:15,25551,26576,26557
20:20,25551,26372,26469
20:25,25551,26372,26449
20:30,25551,26372,26380
20:35,25551,26167,26336
20:40,25551,26167,26237
20:45,25551,26167,26167
20:50,25551,25942,26082
20:55,25551,25942,25962
21:00,25551,25942,25800
21:05,24316,25628,25687
21:10,24316,25628,25576
21:15,24316,25628,25476
21:20,24316,25335,25371
21:25,24316,25335,25267
21:30,24316,25335,25131
21:35,24316,24912,24955
21:40,24316,24912,24873
21:45,24316,24912,24730
21:50,24316,24481,24589
21:55,24316,24481,24427
22:00,24316,24481,24242
22:05,22682,23958,24083
22:10,22682,23958,23980
22:15,22682,23958,23850
22:20,22682,23567,23658
22:25,22682,23567,23512
22:30,22682,23567,23374
22:35,22682,23058,23166
22:40,22682,23058,23073
22:45,22682,23058,22945
22:50,22682,22550,22785
22:55,22682,22550,22593
23:00,22682,22550,22418
23:05,21074,22135,22238
23:10,21074,22135,22043
23:15,21074,22135,21915
23:20,21074,21776,21772
23:25,21074,21776,21647
23:30,21074,21776,21539
23:35,21074,21372,21378
23:40,21074,21372,21203
23:45,21074,21372,21095
23:50,21074,21020,20919
23:55,21074,21020,20847
00:00,21074,21020,
