Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,24632,24453,24447
00:05,23747,24245,24400
00:10,23747,24245,24382
00:15,23747,24245,24226
00:20,23747,23942,24162
00:25,23747,23942,24065
00:30,23747,23942,23953
00:35,23747,23649,23842
00:40,23747,23649,23730
00:45,23747,23649,23648
00:50,23747,23384,23522
00:55,23747,23384,23417
01:00,23747,23384,23400
01:05,22742,23172,23284
01:10,22742,23172,23203
01:15,22742,23172,23104
01:20,22742,22935,23056
01:25,22742,22935,23008
01:30,22742,22935,22954
01:35,22742,22703,22848
01:40,22742,22703,22761
01:45,22742,22703,22638
01:50,22742,22539,22582
01:55,22742,22539,22554
02:00,22742,22539,22501
02:05,22186,22376,22449
02:10,22186,22376,22424
02:15,22186,22376,22339
02:20,22186,22230,22306
02:25,22186,22230,22271
02:30,22186,22230,22176
02:35,22186,22099,22134
02:40,22186,22099,22113
02:45,22186,22099,22024
02:50,22186,21950,22006
02:55,22186,21950,22016
03:00,22186,21950,21970
03:05,21415,21897,21915
03:10,21415,21897,21951
03:15,21415,21897,21974
03:20,21415,21880,21920
03:25,21415,21880,21941
03:30,21415,21880,21944
03:35,21415,21834,21902
03:40,21415,21834,21861
03:45,21415,21834,21883
03:50,21415,21887,21892
03:55,21415,21887,21892
04:00,21415,21887,21919
04:05,21774,22034,21920
04:10,21774,22034,22089
04:15,21774,22034,22120
04:20,21774,22154,22120
04:25,21774,22154,22220
04:30,21774,22154,22183
04:35,21774,22303,22244
04:40,21774,22303,22330
04:45,21774,22303,22406
04:50,21774,22525,22479
04:55,21774,22525,22522
05:00,21774,22525,22605
05:05,23191,23013,22830
05:10,23191,23013,23132
05:15,23191,23013,23282
05:20,23191,23406,23395
05:25,23191,23406,23443
05:30,23191,23406,23512
05:35,23191,23829,23680
05:40,23191,23829,23925
05:45,23191,23829,24042
05:50,23191,24271,24211
05:55,23191,24271,24291
06:00,23191,24271,24511
06:05,25744,25237,24892
06:10,25744,25237,25277
06:15,25744,25237,25509
06:20,25744,25894,25732
06:25,25744,25894,25879
06:30,25744,25894,26020
06:35,25744,26410,26261
06:40,25744,26410,26487
06:45,25744,26410,26595
06:50,25744,26770,26743
06:55,25744,26770,26809
07:00,25744,26770,26887
07:05,27141,27229,27086
07:10,27141,27229,27261
07:15,27141,27229,27347
07:20,27141,27420,27396
07:25,27141,27420,27431
07:30,27141,27420,27434
07:35,27141,27538,27485
07:40,27141,27538,27560
07:45,27141,27538,27564
07:50,27141,27631,27615
07:55,27141,27631,27566
08:00,27141,27631,27569
08:05,28106,27877,27691
08:10,28106,27877,27823
08:15,28106,27877,27869
08:20,28106,28046,27982
08:25,28106,28046,27952
08:30,28106,28046,27924
08:35,28106,28170,28026
08:40,28106,28170,28033
08:45,28106,28170,28035
08:50,28106,28305,28081
08:55,28106,28305,28202
09:00,28106,28305,28231
09:05,28526,28369,28249
09:10,28526,28369,28261
09:15,28526,28369,28222
09:20,28526,28527,28301
09:25,28526,28527,28321
09:30,28526,28527,28383
09:35,28526,28476,28319
09:40,28526,28476,28359
09:45,28526,28476,28370
09:50,28526,28582,28357
09:55,28526,28582,28326
10:00,28526,28582,28321
10:05,28727,28444,28385
10:10,28727,28444,28399
10:15,28727,28444,28468
