Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,22149,21401,21283
00:05,21159,21211,21186
00:10,21159,21211,21133
00:15,21159,21211,21068
00:20,21159,21033,20974
00:25,21159,21033,20884
00:30,21159,21033,20817
00:35,21159,20760,20732
00:40,21159,20760,20681
00:45,21159,20760,20602
00:50,21159,20499,20532
00:55,21159,20499,20485
01:00,21159,20499,20432
01:05,20330,20303,20403
01:10,20330,20303,20397
01:15,20330,20303,20339
01:20,20330,20177,20220
01:25,20330,20177,20111
01:30,20330,20177,20045
01:35,20330,20102,19978
01:40,20330,20102,19927
01:45,20330,20102,19888
01:50,20330,19802,19819
01:55,20330,19802,19784
02:00,20330,19802,19745
02:05,19869,19720,19683
02:10,19869,19720,19635
02:15,19869,19720,19595
02:20,19869,19624,19564
02:25,19869,19624,19564
02:30,19869,19624,19511
02:35,19869,19531,19479
02:40,19869,19531,19454
02:45,19869,19531,19433
02:50,19869,19440,19425
02:55,19869,19440,19416
03:00,19869,19440,19425
03:05,19761,19456,19422
03:10,19761,19456,19454
03:15,19761,19456,19450
03:20,19761,19458,19452
03:25,19761,19458,19435
03:30,19761,19458,19416
03:35,19761,19483,19416
03:40,19761,19483,19454
03:45,19761,19483,19463
03:50,19761,19534,19454
03:55,19761,19534,19531
04:00,19761,19534,19590
04:05,20310,19758,19643
04:10,20310,19758,19689
04:15,20310,19758,19763
04:20,20310,19960,19819
04:25,20310,19960,19863
04:30,20310,19960,19932
04:35,20310,20149,20010
04:40,20310,20149,20107
04:45,20310,20149,20186
04:50,20310,20385,20255
04:55,20310,20385,20361
05:00,20310,20385,20448
05:05,21739,20957,20653
05:10,21739,20957,20916
05:15,21739,20957,21082
05:20,21739,21374,21258
05:25,21739,21374,21370
05:30,21739,21374,21483
05:35,21739,21776,21602
05:40,21739,21776,21767
05:45,21739,21776,21912
05:50,21739,22299,22079
05:55,21739,22299,22239
06:00,21739,22299,22427
06:05,23724,23114,22789
06:10,23724,23114,23146
06:15,23724,23114,23329
06:20,23724,23579,23475
06:25,23724,23579,23603
06:30,23724,23579,23735
06:35,23724,23864,23836
06:40,23724,23864,23961
06:45,23724,23864,24064
06:50,23724,24166,24131
06:55,23724,24166,24186
07:00,23724,24166,24275
07:05,25327,24686,24396
07:10,25327,24686,24568
07:15,25327,24686,24567
07:20,25327,24814,24582
07:25,25327,24814,24556
07:30,25327,24814,24508
07:35,25327,24641,24525
07:40,25327,24641,24470
07:45,25327,24641,24393
07:50,25327,24377,24432
07:55,25327,24377,24369
08:00,25327,24377,24383
08:05,25312,24453,24404
08:10,25312,24453,24438
08:15,25312,24453,24365
08:20,25312,24407,24323
08:25,25312,24407,24272
08:30,25312,24407,24211
08:35,25312,24278,24228
08:40,25312,24278,24165
08:45,25312,24278,24134
08:50,25312,24107,24149
08:55,25312,24107,24143
