Date,Energy [MWh],Min load [MW],Max load [MW]
2019-05-01,38.24186587499999,1310.657,2219.601
2019-05-02,43.738324375,1366.13,2511.638
2019-05-03,45.68137424999999,1364.398,2563.277
2019-05-04,44.219782375,1410.143,2515.042
2019-05-05,38.68279824999999,1212.656,2276.356
2019-05-06,43.60866375,1253.832,2592.191
2019-05-07,43.848000875,1341.547,2701.931
2019-05-08,47.07791125,1508.035,2699.351
2019-05-09,44.109815749999996,1416.263,2439.731
2019-05-10,46.898647,1469.042,2596.897
2019-05-11,46.896825625000005,1461.519,2546.95
2019-05-12,40.30355900000001,1394.172,2223.364
2019-05-13,44.688678875000015,1356.461,2585.869
2019-05-14,46.190094375,1403.066,2639.839
2019-05-15,46.875611374999984,1438.61,2704.249
2019-05-16,48.96361937499999,1456.734,2667.046
2019-05-17,45.45870525000001,1482.753,2483.708
2019-05-18,42.629921875,1341.501,2360.851
2019-05-19,38.144013625,1249.503,2147.193
2019-05-20,42.09056137500001,1291.582,2483.847
2019-05-21,45.351735250000004,1486.698,2480.193
2019-05-22,45.60422975,1453.324,2480.29
2019-05-23,45.25335237499999,1446.735,2553.35
2019-05-24,45.02780662499999,1463.41,2440.87
2019-05-25,43.620571625000004,1426.082,2412.187
2019-05-26,40.82008525000001,1358.224,2292.353
2019-05-27,45.148562,1382.637,2588.303
2019-05-28,46.50118687500001,1462.916,2646.965
2019-05-29,46.70017612499999,1478.621,2559.615
2019-05-30,45.296802375000006,1440.88,2521.612
2019-05-31,45.35837812500001,1460.742,2437.483
