Date,Energy [MWh],Min load [MW],Max load [MW]
2018-12-01,452.4914627499999,15395.266,22515.591
2018-12-02,403.12963924999997,13245.481,21273.679
2018-12-03,544.9177367500001,13587.836,29470.289
2018-12-04,565.9973778750001,15957.45,29384.559
2018-12-05,576.3731658749999,16397.881,30035.292
2018-12-06,565.5919305,15770.994,29583.399
2018-12-07,552.353157,16144.261,28885.37
2018-12-08,408.58707125000006,14080.124,21275.672
2018-12-09,385.82998224999994,12478.481,20659.122
2018-12-10,538.244103875,12670.354,29503.426
2018-12-11,579.9422157500001,15943.317,30905.62
2018-12-12,564.878168875,15802.969,29933.528
2018-12-13,577.8552441250001,16042.116,30639.392
2018-12-14,577.2613444999997,16068.661,30110.086
2018-12-15,466.0775555,15806.219,23739.123
2018-12-16,406.49951450000003,13210.264,21795.061
2018-12-17,553.1513273749999,13368.241,29856.692
2018-12-18,580.6709477500002,16173.916,30550.474
2018-12-19,572.9991607499999,16113.752,30226.196
2018-12-20,553.7473243750002,15568.474,29472.35
2018-12-21,502.7484008750001,14734.675,27200.303
2018-12-22,388.55557575,12454.903,20043.294
2018-12-23,346.934290375,11234.467,18543.082
2018-12-24,346.272244875,10575.248,18524.949
2018-12-25,294.313782,9598.446,15314.185
2018-12-26,309.28585562500007,9586.073,16818.607
2018-12-27,389.919218125,10030.748,21284.925
2018-12-28,388.164313875,11141.906,20823.544
2018-12-29,346.27991837499997,10850.88,18911.795
2018-12-30,311.829673625,10042.157,17261.306
2018-12-31,333.29573462499997,10078.685,17813.351
