Date,Energy [MWh],Min load [MW],Max load [MW]
2018-08-01,1142.6768750000003,34508.0,57860.0
2018-08-02,1100.76812625,34317.0,55862.998999999996
2018-08-03,1063.7031255000002,34038.0,53210.99999999999
2018-08-04,886.624248875,30556.000000000004,42156.0
2018-08-05,793.9156241250001,26798.001000000004,39063.0
2018-08-06,940.875874375,27534.001,47753.001000000004
2018-08-07,950.75637525,29505.000999999997,48318.00000000001
2018-08-08,932.2517482500002,29209.0,47107.0
2018-08-09,910.45474875,28570.0,46033.999
2018-08-10,855.686751625,27301.0,41981.99999999999
2018-08-11,754.8343713749999,25750.999,36650.001000000004
2018-08-12,671.6908750000001,22908.0,34739.998999999996
2018-08-13,770.7675005,24784.999,37895.998999999996
2018-08-14,700.6882475000001,23496.999,33984.0
2018-08-15,610.5983757500002,22007.999,30694.0
2018-08-16,692.3162535,21471.001000000004,35235.0
2018-08-17,718.118375,22825.0,36527.0
2018-08-18,695.441998,23505.000000000004,35267.0
2018-08-19,651.1241249999999,21731.000000000004,33907.001
2018-08-20,781.443375125,22916.001,39642.999
2018-08-21,826.0312505,25590.999999999996,41009.001000000004
2018-08-22,847.3447522499999,26562.001,41658.0
2018-08-23,858.1593742500002,26965.001,42993.999
2018-08-24,852.7886245,27020.001000000004,42414.999
2018-08-25,752.4323745,26465.001,37043.999
2018-08-26,664.6507485,23329.000000000004,33567.0
2018-08-27,852.720251875,23802.999999999996,43729.0
2018-08-28,907.2282506249999,27478.999,45261.0
2018-08-29,943.3398768750001,28498.0,47314.0
2018-08-30,976.65137625,29941.0,49438.99999999999
2018-08-31,951.733249375,29920.0,48774.00000000001
